Wpay	v_sep	SS_tau	SH_tau	FS_tau	SS_TOGW	SS_Spln	SS_Swet	SS_OWEw	SS_OWEv	SS_OEW	SS_mppl	SS_WR	SH_TOGW	SH_Spln	SH_Swet	SH_OWEw	SH_OWEv	SH_OEW	SH_mppl	SH_WR	FS_TOGW	FS_Spln	FS_Swet	FS_OWEw	FS_OWEv	FS_OEW	FS_mppl	FS_WR
120000	1300	0.19	0.24	0.153605008250907	1710201.4546329	576.279899309323	1863.31213442823	245793.034704997	245793.034704997	125793.034704997	1464408.42004878	6.95789226414156	3530057.58253296	641.244905172984	2191.57706945454	319385.619995763	319385.619995738	319385.619995763	3210671.96218265	11.0526503423205	5240259.03716586	1217.52480448231	4054.88920388277	565178.654700761	565178.654700735	445178.654700761	4675080.38223143	18.010542606462
120000	1300	0.19	0.26	0.160093137818823	1710201.4546329	576.279899309323	1863.31213442823	245793.034704997	245793.034704997	125793.034704997	1464408.42004878	6.95789226414156	3514977.16107135	606.702160956108	2141.47734556937	314037.034706259	314037.034706251	314037.034706259	3200940.12644933	11.1928746379974	5225178.61570425	1182.98206026543	4004.7894799976	559830.069411256	559830.069411248	439830.069411256	4665348.54649811	18.1507669021389
120000	1500	0.15	0.3	0.154853079035427	1728299.99043485	675.015078626087	2149.43870210517	262089.545322279	262089.545322279	142089.545322279	1466210.44518074	6.59431107172861	4003679.15384174	603.773413832265	2306.00991265198	333374.683514524	333374.683514523	333374.683514524	3670304.46967584	12.0095476686547	5731979.14427659	1278.78849245835	4455.44861475716	595464.228836804	595464.228836802	475464.228836804	5136514.91485659	18.6038587403834
120000	1500	0.17	0.24	0.147320581881767	1652082.58872847	608.68706353687	1946.50776066234	250531.491595866	250531.491595866	130531.491595866	1401551.09725144	6.59431107172861	3879145.25329242	684.52531093118	2339.49613134676	335817.273238842	335817.273238843	335817.273238842	3543327.98003982	11.5513571290292	5531227.84202089	1293.21237446805	4286.0038920091	586348.764834708	586348.764834709	466348.764834708	4944879.07729125	18.1456682007578
130000	1300	0.17	0.28	0.15697040002619	1875286.60343146	658.033720509487	2104.31241351927	269519.350435542	269519.350435542	139519.350435542	1605767.25299637	6.95789226414156	3803714.81635459	609.896240061531	2234.40415508162	326418.103280269	326418.103280267	326418.103280269	3477296.71251002	11.6528917286317	5679001.41978605	1267.92996057102	4338.71656860089	595937.453715811	595937.453715809	465937.453715811	5083063.9655064	18.6107839927733
130000	1500	0.19	0.28	0.167948618607013	1693495.17136755	581.810522972354	1881.19455266741	256811.538587943	256811.538587943	126811.538587943	1436683.63367019	6.59431107172861	3936323.15858743	624.775557188178	2288.91573562391	331034.2244576	331034.2244576	331034.2244576	3605288.93411958	11.8909854865516	5629818.32995498	1206.58608016053	4170.11028829132	587845.763045542	587845.763045543	457845.763045542	5041972.56778977	18.4852965582802
130000	1500	0.17	0.3	0.164690659086251	1750409.27108372	635.649355548267	2032.72991616614	265442.326279366	265442.326279366	135442.326279366	1484966.94481006	6.59431107172861	4048689.85491793	608.41372895865	2323.73280742364	335594.209905194	335594.209905063	335594.209905194	3713095.64632322	12.0642422804976	5799099.12600165	1244.06308450692	4356.46272358979	601036.53618456	601036.53618443	471036.53618456	5198062.59113328	18.6585533522262
130000	1300	0.17	0.3	0.162190947779257	1875286.60343146	658.033720509487	2104.31241351927	269519.350435542	269519.350435542	139519.350435542	1605767.25299637	6.95789226414156	3800527.8249965	582.25082876855	2223.80805784059	325287.770505551	325287.770505514	325287.770505551	3475240.05438014	11.6835865639186	5675814.42842796	1240.28454927804	4328.12047135986	594807.120941093	594807.120941056	464807.120941093	5081007.30737652	18.6414788280601
130000	1500	0.19	0.3	0.173974931736024	1693495.17136755	581.810522972354	1881.19455266741	256811.538587943	256811.538587943	126811.538587943	1436683.63367019	6.59431107172861	3932776.54797799	596.428859062081	2277.95863428158	329865.518702392	329865.518702392	329865.518702392	3602911.02832757	11.9223632785279	5626271.71934554	1178.23938203443	4159.15318694899	586677.057290335	586677.057290335	456677.057290335	5039594.66199776	18.5166743502565
130000	1500	0.17	0.28	0.159176005276679	1750409.27108372	635.649355548267	2032.72991616614	265442.326279366	265442.326279366	135442.326279366	1484966.94481006	6.59431107172861	4052302.9637602	637.32689055705	2334.89855956851	336784.828351527	336784.82835151	336784.828351527	3715518.13400024	12.0323204052472	5802712.23484392	1272.97624610532	4367.62847573465	602227.154630893	602227.154630876	472227.154630893	5200485.07881029	18.6266314769758
130000	1300	0.17	0.26	0.151429696025106	1875286.60343146	658.033720509487	2104.31241351927	269519.350435542	269519.350435542	139519.350435542	1605767.25299637	6.95789226414156	3812700.37237268	641.493389552029	2264.27998689387	329605.017786828	329605.017786767	329605.017786828	3483095.35466142	11.5674827951622	5687986.97580414	1299.52711006152	4368.59240041314	599124.36822237	599124.368222309	469124.36822237	5088862.6076578	18.5253750593037
130000	1500	0.17	0.32	0.169921602889156	1750409.27108372	635.649355548267	2032.72991616614	265442.326279366	265442.326279366	135442.326279366	1484966.94481006	6.59431107172861	4050701.16257383	582.931766334054	2329.94842393078	336256.990942477	336256.990942471	336256.990942477	3714444.17152632	12.0464444504642	5801110.43365754	1218.58112188232	4362.67834009692	601699.317221843	601699.317221837	471699.317221843	5199411.11633638	18.6407555221928
140000	1300	0.21	0.26	0.167622970039854	1867158.39498651	579.887853646824	1908.22634804788	268351.150738276	268351.150738275	128351.150738276	1598807.24505706	6.95789226414156	3798065.50760655	639.80456401305	2258.31893736234	328847.007662885	328847.007662797	328847.007662885	3469218.49933831	11.5496428992742	5665223.90259305	1219.69241765987	4166.54528541022	597198.158401161	597198.158401072	457198.158401161	5068025.74439537	18.5075351634157
140000	1300	0.21	0.28	0.174165638246331	1867158.39498651	579.887853646824	1908.22634804788	268351.150738276	268351.150738275	128351.150738276	1598807.24505706	6.95789226414156	3789102.14473669	608.289592577111	2228.51807220533	325667.964457854	325667.964457851	325667.964457854	3463434.17949053	11.634862981553	5656260.53972319	1188.17744622394	4136.74442025321	594019.11519613	594019.115196127	454019.115196129	5062241.42454759	18.5927552456945
140000	1300	0.19	0.28	0.16582203912109	1913915.51473679	626.661478880913	2026.21319809524	275071.162686441	275071.16268644	135071.162686441	1638844.35225797	6.95789226414156	3873128.80161315	617.500720838411	2262.26378484976	329971.744997017	329971.744997013	329971.744997017	3543157.05613725	11.7377589440856	5787044.31634995	1244.16219971932	4288.476982945	605042.907683457	605042.907683454	465042.907683457	5182001.40839522	18.6956512082272
140000	1300	0.19	0.3	0.171519909590488	1913915.51473679	626.661478880913	2026.21319809524	275071.162686441	275071.16268644	135071.162686441	1638844.35225797	6.95789226414156	3869904.52614422	589.512231272356	2251.54175026545	328828.188638319	328828.188638319	328828.188638319	3541076.33750639	11.7687736631401	5783820.04088101	1216.17371015327	4277.75494836069	603899.351324759	603899.351324759	463899.351324759	5179920.68976436	18.7266659272817
140000	1300	0.21	0.3	0.18034634850229	1867158.39498651	579.887853646824	1908.22634804788	268351.150738276	268351.150738275	128351.150738276	1598807.24505706	6.95789226414156	3785923.03123694	580.716666465068	2217.94858573003	324540.425703535	324540.425703464	324540.425703535	3461382.60489378	11.6654898149907	5653081.42622344	1160.60452011189	4126.17493377791	592891.57644181	592891.576441739	452891.576441811	5060189.84995084	18.6233820791322
140000	1300	0.19	0.26	0.159782092242318	1913915.51473679	626.661478880913	2026.21319809524	275071.162686441	275071.16268644	135071.162686441	1638844.35225797	6.95789226414156	3882219.39316682	649.48681740233	2292.49439876919	333195.912539993	333195.912539959	333195.912539993	3549023.480765	11.6514616392211	5796134.90790362	1276.14829628324	4318.70759686443	608267.075226434	608267.0752264	468267.075226434	5187867.83302297	18.6093539033626
140000	1300	0.21	0.24	0.1606693796012	1867158.39498651	579.887853646824	1908.22634804788	268351.150738276	268351.150738275	128351.150738276	1598807.24505706	6.95789226414156	3813914.02912005	676.191474073676	2311.01365045663	334468.015632662	334468.015632631	334468.015632662	3479446.01256317	11.4029259897442	5681072.42410656	1256.0793277205	4219.23999850451	602819.166370937	602819.166370907	462819.166370937	5078253.25762023	18.3608182538857
140000	1300	0.19	0.32	0.176915841166139	1913915.51473679	626.661478880913	2026.21319809524	275071.162686441	275071.16268644	135071.162686441	1638844.35225797	6.95789226414156	3871699.41400179	564.808453650909	2257.51047104985	329464.782968674	329464.782968674	329464.782968674	3542234.6309864	11.7514818399368	5785614.92873858	1191.46993253182	4283.7236691451	604535.945655114	604535.945655114	464535.945655114	5181078.98324437	18.7093741040783
